company_code,employee_name,employee_role
mro,Kimberly O. Warnica,"Senior Vice President, General Counsel and Secretary"
mpc,Michael J. Hennigan,"President, Chief Executive Officer and Director"
mpc,Suzanne Gagle,Senior Vice President of Gov. Affairs and General Counsel
mpc,Raymond L. Brooks,Executive Vice President of Refining
mpc,Timothy T. Griffith,President of Speedway LLC
mpc,Maryann T. Mannen,Executive Vice President and Chief Financial Officer
mpc,Timothy J. Harris,Vice President and Chief Technology Officer
mpc,Kristina Anna Kazarian,Vice President of Investor Relations
mpc,Molly R. Benson,"Vice President, Chief Securities, Governance and Compliance Officer and Corporate Secretary"
mpc,Fiona C. Laird,Senior Vice President of Communications and Chief Human Resources Officer
mpc,John S. Swearingen,Senior Vice President of Transportation and Logistics
mktx,Richard Mitchell McVey,Chairman and Chief Executive Officer
mktx,Christopher R. Concannon,"President, Chief Operating Officer and Director"
mktx,Antonio Louis DeLise,Chief Financial Officer
mktx,Nicholas Themelis,Chief Information Officer
mktx,Kevin M. McPherson,Global Head of Sales
mktx,Michael Baker,Chief Technology Officer
mktx,David Cresci,Investor Relations Manager
mktx,Scott Pintoff,General Counsel and Corporate Secretary
mktx,Mary Sedarat,Global Head of Marketing and Communications
mktx,Richard J. Schiffman,Head of Open Trading
mar,John Willard Marriott Jr.,Executive Chairman
mar,Anthony G. Capuano Jr.,Chief Executive Officer and Director
mar,Stephanie Coleman Linnartz,President
mar,Kathleen Kelly Oberg,Executive Vice President and Chief Financial Officer
mar,Erika Alexander,Chief Global Officer of Global Operations
mar,Felitia O. Lee,Controller and Chief Accounting Officer
mar,Jackie Burka McConagha,Senior Vice President of Investor Relations
mar,Rena Hozore Reiss,Executive Vice President and General Counsel
mar,Tricia A. Primrose,Executive Vice President and Global Chief Communications and Public Affairs Officer
mar,Dr. David A. Rodriguez,Executive Vice President and Global Chief Human Resources Officer
mmc,Daniel S. Glaser,"President, Chief Executive Officer and Director"
mmc,Mark Christopher McGivney,Chief Financial Officer
mmc,John Quinlan Doyle,Vice Chairman
mmc,Peter C. Hearn,Vice Chairman
mmc,Martine Ferland,Vice Chairman
mmc,Stacy M. Mills,"Vice President, Controller and Chief Accounting Officer"
mmc,Paul Beswick,Senior Vice President and Global Chief Information Officer
mmc,Sarah Dewitt,Vice President of Investor Relations
mmc,Peter J. Beshar,Executive Vice President and General Counsel
mmc,Katherine J. Brennan,"Deputy General Counsel, Corporate Secretary and Chief Compliance Officer"
mlm,C. Howard Nye,"Chairman, Chief Executive Officer and Pres"
mlm,James A. J. Nickolas,Senior Vice President and Chief Financial Officer
mlm,Roselyn R. Bar,"Executive Vice President, General Counsel and Corporate Secretary"
mlm,Craig M. LaTorre,Senior Vice President and Chief Human Resource Officer
mlm,Daniel L. Grant,Senior Vice President of Strategy and Development
mlm,Jay Moreau,Vice President of Operations
mlm,Robert J. Cardin,"Senior Vice President, Controller and Chief Accounting Officer"
mlm,John P. Mohr,Senior Vice President and Chief Information Officer
mlm,Suzanne Osberg,Vice President of Investor Relations
mlm,Dana F. Guzzo,"Senior Vice President of Sustainability, Community Relations and Communications"
mas,Keith J. Allman,"Chief Executive Officer, President and Director"
mas,John G. Sznewajs,Vice President and Chief Financial Officer
mas,Kenneth G. Cole,"Vice President, General Counsel and Secretary"
mas,Jai Shah,Group Pres
mas,Richard A. O'Reagan,Group President of Global Plumbing
mas,John P. Lindow,"Vice President, Controller and Chief Accounting Officer"
mas,David Chaika,Vice President of Investor Relations and Treasurer
mas,Sue Sabo,Director of Corporate Communications
mas,Renee Straber,Vice President and Chief Human Resource Officer
mas,Jeffrey Mollerick,Head of Masco Service Partners
ma,Ajaypal S. Banga,Executive Chairman
ma,Michael Miebach,"Chief Executive Officer, President and Director"
ma,Sachin Mehra,Chief Financial Officer
ma,Craig Vosburg,Chief Product Officer
ma,Michael B. G. Froman,Vice Chairman and President of Strategic Growth
ma,Edward Grunde McLaughlin,President of Operations and Technology
ma,Sandra A. Arkell,Corporate Controller and Principal Accounting Officer
ma,Timothy Henry Murphy,Chief Administrative Officer
ma,Warren Kneeshaw,Executive Vice President of Investor Relations
ma,Ambassador Richard R. Verma J.D.,General Counsel and Head of Global Public Policy
mkc,Lawrence E. Kurzius,"Chairman, President and Chief Executive Officer"
mkc,Michael R. Smith,Executive Vice President and Chief Financial Officer
mkc,Malcolm S. Swift,Chief Administrative Officer and President of Global Flavor Solutions for EMEA
mkc,Jeffery D. Schwartz,"Vice President, General Counsel and Corporate Secretary"
mkc,Brendan F. Foley,"President of Global Consumer, Americas and Asia"
mkc,Christina M. McMullen,"Vice President, Controller and Chief Accounting Officer"
mkc,Kasey A. Jenkins,Vice President of Investor Relations
mkc,Lori Amos Robinson,"Vice President of Corporate Communications, Corporate Branding and Culinary Marketing"
mkc,Lisa B. Manzone,Senior Vice President of Human Relations
mkc,Nneka Louise Rimmer,President of Global Flavors and Extracts
mxim,Tunç Doluca,"President, Chief Executive Officer and Director"
mxim,Brian C. White,"Chief Financial Officer, Chief Accounting Officer and Senior Vice President"
mxim,Vivek Jain,Senior Vice President of Technology and Manufacturing Group
mxim,Edwin B. Medlin,"Senior Vice President and Chief Legal, Administrative and Compliance Officer"
mxim,Jon Imperato,Senior Vice President of Worldwide Sales and Marketing
mxim,Kathy Ta,Vice President of Investor Relations
mxim,Mrs. Laura Owen,Chief Human Resources Officer
mxim,Christopher J. Neil,Senior Vice President of New Ventures
mxim,Bryan J. Preeshl,Senior Vice President of Quality
mxim,David Dwelley,Vice President and Chief Technical Officer
mcd,Christopher J. Kempczinski,"President, Chief Executive Officer and Director"
mcd,Kevin M. Ozan,Corporate Executive Vice President and Chief Financial Officer
mcd,Heidi B. Capozzi,Corporate Executive Vice President and Global Chief People Officer
mcd,Ian Frederick Borden,President of International
mcd,Joseph Erlinger,President of McDonald's USA
mcd,Catherine A. Hoovel,Corporate Vice President and Chief Accounting Officer
mcd,Daniel Henry,Corporate Executive Vice President and Global Chief Information Officer
mcd,Mike Flores,Senior Vice President and Investor Relations Officer
mcd,Mahrukh Hussain,"Vice President, Interim General Counsel and Secretary"
mcd,Alistair Macrow,Senior Vice President and Global Chief Marketing Officer
mck,Brian S. Tyler,Chief Executive Officer and Director
mck,Britt J. Vitalone,Executive Vice President and Chief Financial Officer
mck,Lori A. Schechter,"Executive Vice President, Chief Legal Officer and General Counsel"
mck,Tracy L. Faber,Executive Vice President and Chief Human Resources Officer
mck,Sundeep G. Reddy,"Senior Vice President, Principal Accounting Officer and Corporate Controller"
mck,Nancy Flores,"Executive Vice President, Chief Information Officer and Chief Technology Officer"
mck,Holly Weiss,Senior Vice President of Investor Relations
mck,Pete Slone,Senior Vice President of Corporate Public Affairs
mck,Kirk Kaminsky,President of The US Pharmaceutical and Specialty Solutions Business
mck,Paul A. Smith,Senior Vice President of Taxes
mdt,Geoffrey Straub Martha,Chief Executive Officer and Chairman
mdt,Karen L. Parkhill,Executive Vice President and Chief Financial Officer
mdt,Bradley E. Lerman,"Senior Vice President, General Counsel and Corporate Secretary"
mdt,Mark Ploof,Senior Vice President of Global Operations and Business Services
mdt,Dr. Richard E. Kuntz,Senior Vice President and Chief Medical and Scientific Officer
mdt,Sean Lennon,Chief Information Officer
mdt,Ryan Weispfenning,Vice President of Investor Relations
mdt,Marguerite Copel,PR and Interim Chief Communications Officer
mdt,Carol A. Surface,Senior Vice President and Chief Human Resources Officer
mdt,Sean M. Salmon,"EVice President, President of Diabetes Operating Unit and Executive Vice President and President of Cardiovascular Portfolio"
mrk,Kenneth C. Frazier,Chief Executive Officer and Chairman
mrk,Robert M. Davis,President
mrk,Jennifer L. Zachary,"Executive Vice President, General Counsel and Corporate Secretary"
mrk,Sanat Chattopadhyay,Executive Vice President and President of Merck Manufacturing Division
mrk,Caroline Litchfield,Executive Vice President and Chief Financial Officer
mrk,David Michael Williams,Chief Information and Digital Officer
mrk,Peter Dannenbaum CFA,Vice President of Investor Relations
mrk,Michael W. Fleming,Senior Vice President and Chief Ethics and Compliance Officer
mrk,Jennifer Mauer,Vice President of Global Communications
mrk,Steven C. Mizell,Executive Vice President and Chief Human Resources Officer
met,Michel Abbas Khalaf,"Chief Executive Officer, President and Director"
met,John Dennis McCallion CPA,Executive Vice President and Chief Financial Officer
met,Bill Pappas,Executive Vice President and Head of Global Technology and Operations
met,Steven Jeffrey Goulart,Executive Vice President and Chief Investment Officer
met,Ramy Tadros,Executive Vice President and President of U.S. Business
met,"Tamara Lynn Schock C.A., CPA",Executive Vice President and Chief Accounting Officer
met,Pawan Verma,Executive Vice President and Chief Information Officer
met,John Arthur Hall,Senior Vice President and Head of Investor Relations
met,Stephen W. Gauster,Executive Vice President and General Counsel
met,Randolph J. Clerihue,Chief Communications Officer
mtd,Shawn P. Vadala,Chief Financial Officer
mtd,Peter Aggersbjerg,Head of Divisions and Operations
mtd,Marc de La Gueronniere,Head of European and North American Market Organizations
mtd,Gerhard Keller,Head of Process Analytics and Pipettes
mtd,Patrick K. Kaltenbach,Chief Executive Officer
mtd,Mary T. Finnegan,Head of Investor Relations and Treasurer
mtd,Michelle M. Roe,General Counsel and Secretary
mtd,Christian Magloth,Head of Human Resources
mtd,Richard Wong,Head of Asia/Pacific Market Organizations
mtd,Oliver Wittorf,Head of Supply Chain and IT
mgm,William Joseph Hornbuckle IV,"President, Chief Executive Officer and Director"
mgm,Corey Ian Sanders,Chief Operating Officer
mgm,John M. McManus Esq.,"Executive Vice President, General Counsel and Secretary"
mgm,Jonathan S. Halkyard,Chief Financial Officer and Treasurer
mgm,Todd R. Meinert,Senior Vice President and Chief Accounting Officer
mgm,Catherine Park,Executive Director of Investor Relations
mgm,Jeff Mochal,Senior Vice President of Corporate Communications
mgm,Jyoti Chopra,"Senior Vice President and Chief People, Inclusion and Sustainability Officer"
mgm,Alan M. Feldman,Executive Vice President of Global Gov. and Industry Affairs
mgm,Phyllis A. James,Chief Diversity and Corporate Responsibility Officer
mchp,Stephen Sanghi,Executive Chair
mchp,Ganesh Moorthy,"Chief Executive Officer, President and Director"
mchp,James Eric Bjornholt,Senior Vice President and Chief Financial Officer
mchp,Mitchell R. Little,Senior Vice President of Worldwide Client Engagement
mchp,Stephen V. Drehobl,Senior Vice President of MCU8 and MCU16 Business Units
mchp,Kimberly van Herk,"Vice President, General Counsel and Corporate Secretary"
mchp,Lauren A. Carr,Senior Vice President of Global Human Resources
mchp,Michael A. Finley,Senior Vice President of Fab Operations
mchp,Richard J. Simoncic,Senior Vice President of Analog Power and Interface Business Units
mchp,Mitchel Obolsky,Senior Vice President of Networking and Data Center Business Units
mu,Sanjay Mehrotra,"Chief Executive Officer, President and Director"
mu,David A. Zinsner,Senior Vice President and Chief Financial Officer
mu,Manish H. Bhatia,Executive Vice President of Global Operations
mu,Dr. Scott J. DeBoer,Executive Vice President of Technology and Products
mu,Sumit Sadana,Executive Vice President and Chief Business Officer
mu,Scott R. Allen,Corporate Vice President and Chief Accounting Officer
mu,Trevor Stanley Schultz M.A. (ECON),Chief Information Officer and Vice President of Information Systems
mu,Farhan Ahmad,Senior Director of Investor Relations
mu,Joel L. Poppen,"Senior Vice President of Legal Affairs, General Counsel and Corporate Secretary"
mu,Michael W. Bokan,Senior Vice President of Worldwide Sales
msft,Satya Nadella,Chief Executive Officer and Director
msft,Bradford L. Smith,President and Chief Legal Officer
msft,Amy E. Hood,Executive Vice President and Chief Financial Officer
msft,Jean-Philippe Courtois,"Executive Vice President and President of Microsoft Global Sales, Marketing and Operations"
msft,Alice L. Jolla,Corporate Vice President of Finance and Administrative and Chief Accounting Officer
msft,J. Kevin Scott,Chief Technology Officer and Executive Vice President of Technology and Research
msft,Nick Coleman,Chief Technology Officer
msft,Vikas Mehta,Director of Investor Relations
